station,air_temp_diff_1000_500,air_2m,hgt_1000,hgt_500,omega_500,pottmp_diff_1000_500,pr_wtr,shum_750,shum_925,zon_moist_750,zon_moist_925,merid_moist_750,merid_moist_925,skin_temp,slp
maloata,-0.1975235073853937,-0.25619455578980294,-0.0560349103896262,-0.04877282218070303,-0.4308856098174838,-0.16113169057435697,0.5010696340349788,0.4982677369986029,0.3692096088887312,-0.2142036298134528,-0.08780147631526732,-0.15454560081846958,-0.0513371873468571,0.1256818654913301,-0.054640721855968584
masefau,-0.2412209431653242,-0.26866429815108456,-0.22158803463782192,-0.1929043397968848,-0.44667435547143614,-0.21911486147600082,0.5614064371693059,0.5992564487971862,0.38659686718968334,-0.03129691204881795,0.08126343132673938,-0.31928670210703425,-0.26169270849133475,0.0516454057731461,-0.21834027949930224
matatula,-0.2871118192176275,-0.2791507776506794,-0.14972985718105267,-0.08861728644752384,-0.4806716972171946,-0.2568500613907504,0.5808209542632033,0.6010783401863203,0.4082342478451116,-0.18894282348803726,-0.030909734162468665,-0.30888965712695926,-0.20942122600930627,0.08956001408200076,-0.14554180003430045
mt_alava,-0.2072642573450916,-0.27857028354872765,-0.0642828629270529,-0.032127549344714956,-0.35959206346840283,-0.1685379379733886,0.5130359459089723,0.5523494143541188,0.39093308975827235,-0.2383176817995476,-0.10601327582082137,-0.21910689554984938,-0.04878122080921536,0.08172184363847713,-0.06173032601851845
pioa_afono,-0.09926566330288954,-0.11788714444994637,-0.17702185027114023,-0.17711766227012213,-0.32184702584363,-0.08556475976448079,0.4252733277633885,0.4308724543503783,0.30353105673543923,0.06608866334185536,0.09054217296474056,-0.22474704966076764,-0.16786119433024455,0.08397704565852754,-0.1747596687597976
poloa_UH,-0.2625108473124827,-0.34250861928086296,-0.10259139211363939,-0.10384281521657308,-0.32270096287875877,-0.23155952364014598,0.44311746526307655,0.45299473134179385,0.2859615120883918,-0.19861075384212695,-0.11369437042235132,-0.22485686803539912,-0.11622506785718292,-0.009055234666985316,-0.09852535182844778
satala,-0.21009105269896436,-0.25489684895723647,-0.1374541908941065,-0.12922849824582583,-0.4161255448728588,-0.17768204239930346,0.5064054031845957,0.5204641683768177,0.34645991586751956,-0.1341265883588469,-0.021605512081237534,-0.23920676984706327,-0.17149715793483133,0.06793048183752134,-0.1337827403897371
siufaga_WRCC,-0.25418064549481256,-0.3055129797361069,-0.13186896207038906,-0.138649922318435,-0.34556227614551366,-0.22399015084216442,0.4406768610701941,0.4665572704523532,0.3237471943190452,-0.08250596982210176,-0.05925591090087434,-0.2122590172938139,-0.056346574508391235,0.007868383842004821,-0.12804080150521135
toa_ridge_WRCC,-0.23710656891223117,-0.3062302802071916,-0.1596967716678632,-0.16220151301951563,-0.3822800514012736,-0.2078075147522046,0.4729064894924855,0.476659548198667,0.3397785933862489,-0.04968127193448584,0.004792687641117611,-0.23033200464302728,-0.08787303312131389,0.04199320198897299,-0.15597097016581027
vaipito2000,-0.10820077025555251,-0.12844005291388078,-0.13363798939023258,-0.15897813693581198,-0.28246892470731266,-0.09194994377071274,0.36294220290002266,0.3708607489576659,0.24948941495752072,0.04468764394242169,0.039709052164309325,-0.19846805361614503,-0.13718043330156443,0.027659061961824154,-0.1313015797065326
