,datetime,precip_in
369,01/03/2013,0.38
370,01/04/2013,0.0
371,01/05/2013,1.03
372,01/06/2013,0.21
373,01/07/2013,0.0
374,01/08/2013,0.0
375,01/09/2013,0.65
376,01/10/2013,1.48
377,01/11/2013,1.26
378,01/12/2013,0.95
379,01/13/2013,0.11
380,01/14/2013,0.44
381,01/15/2013,0.34
382,01/16/2013,0.19
383,01/17/2013,0.88
384,01/18/2013,0.09
385,01/19/2013,0.39
386,01/20/2013,0.26
387,01/21/2013,0.1
388,01/22/2013,0.23
389,01/23/2013,0.08
390,01/24/2013,0.0
391,01/25/2013,NA
392,01/26/2013,NA
393,01/27/2013,NA
394,01/28/2013,NA
395,01/29/2013,NA
396,01/30/2013,NA
397,01/31/2013,NA
398,02/01/2013,NA
399,02/02/2013,NA
400,02/03/2013,NA
401,02/04/2013,NA
402,02/05/2013,NA
403,02/06/2013,NA
404,02/07/2013,NA
405,02/08/2013,NA
406,02/09/2013,NA
407,02/10/2013,NA
408,02/11/2013,NA
409,02/12/2013,NA
410,02/13/2013,NA
411,02/14/2013,NA
412,02/15/2013,NA
413,02/16/2013,NA
414,02/17/2013,NA
415,02/18/2013,NA
416,02/19/2013,NA
417,02/20/2013,NA
418,02/21/2013,NA
419,02/22/2013,NA
420,02/23/2013,NA
421,02/24/2013,NA
422,02/25/2013,NA
423,02/26/2013,NA
424,02/27/2013,NA
425,02/28/2013,NA
426,03/01/2013,NA
427,03/02/2013,NA
428,03/03/2013,NA
429,03/04/2013,NA
430,03/05/2013,NA
431,03/06/2013,NA
432,03/07/2013,NA
433,03/08/2013,NA
434,03/09/2013,NA
435,03/10/2013,NA
436,03/11/2013,NA
437,03/12/2013,NA
438,03/13/2013,NA
439,03/14/2013,NA
440,03/15/2013,NA
441,03/16/2013,NA
442,03/17/2013,NA
443,03/18/2013,NA
444,03/19/2013,NA
445,03/20/2013,NA
446,03/21/2013,NA
447,03/22/2013,NA
448,03/23/2013,NA
449,03/24/2013,NA
450,03/25/2013,NA
451,03/26/2013,NA
452,03/27/2013,NA
453,03/28/2013,NA
454,03/29/2013,NA
455,03/30/2013,NA
456,03/31/2013,NA
457,04/01/2013,NA
458,04/02/2013,NA
459,04/03/2013,NA
460,04/04/2013,NA
461,04/05/2013,NA
462,04/06/2013,NA
463,04/07/2013,NA
464,04/08/2013,NA
465,04/09/2013,NA
466,04/10/2013,NA
467,04/11/2013,NA
468,04/12/2013,NA
469,04/13/2013,NA
470,04/14/2013,NA
471,04/15/2013,NA
472,04/16/2013,NA
473,04/17/2013,NA
474,04/18/2013,NA
475,04/19/2013,NA
476,04/20/2013,NA
477,04/21/2013,NA
478,04/22/2013,NA
479,04/23/2013,NA
480,04/24/2013,NA
481,04/25/2013,NA
482,04/26/2013,NA
483,04/27/2013,NA
484,04/28/2013,NA
485,04/29/2013,NA
486,04/30/2013,NA
487,05/01/2013,NA
488,05/02/2013,NA
489,05/03/2013,NA
490,05/04/2013,NA
491,05/05/2013,NA
492,05/06/2013,0.01
493,05/07/2013,0.08
494,05/08/2013,0.03
495,05/09/2013,0.0
496,05/10/2013,0.29
497,05/11/2013,0.21
498,05/12/2013,0.16
499,05/13/2013,0.01
500,05/14/2013,0.02
501,05/15/2013,0.01
502,05/16/2013,0.13
503,05/17/2013,0.0
504,05/18/2013,0.23
505,05/19/2013,0.27
506,05/20/2013,0.02
507,05/21/2013,0.0
508,05/22/2013,0.01
509,05/23/2013,0.17
510,05/24/2013,0.21
511,05/25/2013,0.01
512,05/26/2013,0.19
513,05/27/2013,0.08
514,05/28/2013,0.26
515,05/29/2013,0.13
516,05/30/2013,0.64
517,05/31/2013,0.0
518,06/01/2013,0.04
519,06/02/2013,0.0
520,06/03/2013,0.0
521,06/04/2013,0.62
522,06/05/2013,4.88
523,06/06/2013,0.04
524,06/07/2013,0.07
525,06/08/2013,0.0
526,06/09/2013,0.04
527,06/10/2013,0.42
528,06/11/2013,0.01
529,06/12/2013,0.07
530,06/13/2013,0.58
531,06/14/2013,0.06
532,06/15/2013,0.54
533,06/16/2013,1.08
534,06/17/2013,0.01
535,06/18/2013,0.1
536,06/19/2013,0.0
537,06/20/2013,0.0
538,06/21/2013,0.03
539,06/22/2013,0.17
540,06/23/2013,0.59
541,06/24/2013,0.66
542,06/25/2013,0.91
543,06/26/2013,0.0
544,06/27/2013,0.0
545,06/28/2013,0.25
546,06/29/2013,0.0
547,06/30/2013,0.25
548,07/01/2013,0.11
549,07/02/2013,1.35
550,07/03/2013,0.28
551,07/04/2013,0.06
552,07/05/2013,0.29
553,07/06/2013,0.06
554,07/07/2013,0.03
555,07/08/2013,0.0
556,07/09/2013,0.04
557,07/10/2013,0.12
558,07/11/2013,0.0
559,07/12/2013,1.35
560,07/13/2013,0.78
561,07/14/2013,0.02
562,07/15/2013,0.29
563,07/16/2013,0.33
564,07/17/2013,2.48
565,07/18/2013,1.15
566,07/19/2013,0.75
567,07/20/2013,0.79
568,07/21/2013,0.0
569,07/22/2013,0.0
570,07/23/2013,0.0
571,07/24/2013,0.53
572,07/25/2013,0.0
573,07/26/2013,0.24
574,07/27/2013,0.95
575,07/28/2013,0.11
576,07/29/2013,0.19
577,07/30/2013,0.52
578,07/31/2013,0.36
579,08/01/2013,0.19
580,08/02/2013,0.0
581,08/03/2013,0.94
582,08/04/2013,0.9
583,08/05/2013,1.04
584,08/06/2013,0.11
585,08/07/2013,0.0
586,08/08/2013,0.03
587,08/09/2013,0.48
588,08/10/2013,2.64
589,08/11/2013,0.0
590,08/12/2013,0.01
591,08/13/2013,0.0
592,08/14/2013,0.0
593,08/15/2013,1.22
594,08/16/2013,3.4
595,08/17/2013,2.84
596,08/18/2013,0.19
597,08/19/2013,0.83
598,08/20/2013,0.04
599,08/21/2013,0.33
600,08/22/2013,0.0
601,08/23/2013,0.0
602,08/24/2013,0.13
603,08/25/2013,0.01
604,08/26/2013,0.68
605,08/27/2013,0.04
606,08/28/2013,0.0
607,08/29/2013,0.0
608,08/30/2013,0.0
609,08/31/2013,0.13
610,09/01/2013,2.0
611,09/02/2013,0.0
612,09/03/2013,0.0
613,09/04/2013,0.0
614,09/05/2013,0.0
615,09/06/2013,0.0
616,09/07/2013,4.47
617,09/08/2013,1.0
618,09/09/2013,0.38
619,09/10/2013,0.25
620,09/11/2013,0.0
621,09/12/2013,0.06
622,09/13/2013,0.25
623,09/14/2013,0.01
624,09/15/2013,0.04
625,09/16/2013,0.03
626,09/17/2013,0.32
627,09/18/2013,0.39
628,09/19/2013,0.01
629,09/20/2013,0.0
