,datetime,precip_in
363,06/28/1959,0.15
364,06/29/1959,NA
365,06/30/1959,0.35
366,07/01/1959,NA
367,07/02/1959,0.15
368,07/03/1959,NA
369,07/04/1959,NA
370,07/05/1959,NA
371,07/06/1959,1.1
372,07/07/1959,NA
373,07/08/1959,NA
374,07/09/1959,0.35
375,07/10/1959,0.3
376,07/11/1959,NA
377,07/12/1959,0.8
378,07/13/1959,0.85
379,07/14/1959,NA
380,07/15/1959,NA
381,07/16/1959,NA
382,07/17/1959,NA
383,07/18/1959,5.35
384,07/19/1959,1.1
385,07/20/1959,0.75
386,07/21/1959,0.2
387,07/22/1959,0.2
388,07/23/1959,0.45
389,07/24/1959,NA
390,07/25/1959,0.4
391,07/26/1959,NA
392,07/27/1959,NA
393,07/28/1959,NA
394,07/29/1959,NA
395,07/30/1959,0.75
396,07/31/1959,2.65
397,08/01/1959,NA
398,08/02/1959,NA
399,08/03/1959,2.95
400,08/04/1959,NA
401,08/05/1959,NA
402,08/06/1959,NA
403,08/07/1959,NA
404,08/08/1959,NA
405,08/09/1959,NA
406,08/10/1959,NA
407,08/11/1959,NA
408,08/12/1959,NA
409,08/13/1959,NA
410,08/14/1959,NA
411,08/15/1959,1.3
412,08/16/1959,NA
413,08/17/1959,0.75
414,08/18/1959,NA
415,08/19/1959,NA
416,08/20/1959,NA
417,08/21/1959,NA
418,08/22/1959,NA
419,08/23/1959,NA
420,08/24/1959,NA
421,08/25/1959,NA
422,08/26/1959,3.4
423,08/27/1959,7.4
424,08/28/1959,0.7
425,08/29/1959,5.35
426,08/30/1959,NA
427,08/31/1959,1.35
428,09/01/1959,NA
429,09/02/1959,0.65
430,09/03/1959,1.95
431,09/04/1959,5.1
432,09/05/1959,1.65
433,09/06/1959,2.8
434,09/07/1959,0.65
435,09/08/1959,2.8
436,09/09/1959,0.25
437,09/10/1959,NA
438,09/11/1959,NA
439,09/12/1959,0.3
440,09/13/1959,0.25
441,09/14/1959,0.15
442,09/15/1959,NA
443,09/16/1959,NA
444,09/17/1959,1.35
445,09/18/1959,0.65
446,09/19/1959,0.55
447,09/20/1959,0.5
448,09/21/1959,NA
449,09/22/1959,NA
450,09/23/1959,NA
451,09/24/1959,NA
452,09/25/1959,NA
453,09/26/1959,NA
454,09/27/1959,NA
455,09/28/1959,NA
456,09/29/1959,NA
457,09/30/1959,1.15
458,10/01/1959,NA
459,10/02/1959,0.1
460,10/03/1959,0.1
461,10/04/1959,0.3
462,10/05/1959,0.15
463,10/06/1959,0.15
464,10/07/1959,0.1
465,10/08/1959,1.0
466,10/09/1959,0.85
467,10/10/1959,NA
468,10/11/1959,NA
469,10/12/1959,0.15
470,10/13/1959,NA
471,10/14/1959,NA
472,10/15/1959,0.4
473,10/16/1959,1.25
474,10/17/1959,1.7
475,10/18/1959,1.05
476,10/19/1959,0.9
477,10/20/1959,NA
478,10/21/1959,2.15
479,10/22/1959,NA
480,10/23/1959,0.6
481,10/24/1959,0.45
482,10/25/1959,NA
483,10/26/1959,1.7
484,10/27/1959,1.9
485,10/28/1959,0.1
486,10/29/1959,1.1
487,10/30/1959,0.95
488,10/31/1959,1.95
489,11/01/1959,0.9
490,11/02/1959,0.3
491,11/03/1959,0.9
492,11/04/1959,1.1
493,11/05/1959,1.3
494,11/06/1959,0.4
495,11/07/1959,1.1
496,11/08/1959,NA
497,11/09/1959,1.8
498,11/10/1959,NA
499,11/11/1959,NA
500,11/12/1959,NA
501,11/13/1959,0.15
502,11/14/1959,1.4
503,11/15/1959,0.2
504,11/16/1959,2.0
505,11/17/1959,NA
506,11/18/1959,NA
507,11/19/1959,NA
508,11/20/1959,NA
509,11/21/1959,1.1
510,11/22/1959,NA
511,11/23/1959,0.5
512,11/24/1959,0.3
513,11/25/1959,0.85
514,11/26/1959,1.0
515,11/27/1959,NA
516,11/28/1959,1.5
517,11/29/1959,0.15
518,11/30/1959,0.35
519,12/01/1959,NA
520,12/02/1959,NA
521,12/03/1959,NA
522,12/04/1959,2.2
523,12/05/1959,0.55
524,12/06/1959,2.2
525,12/07/1959,0.45
526,12/08/1959,5.95
527,12/09/1959,0.75
528,12/10/1959,0.45
529,12/11/1959,0.85
530,12/12/1959,0.35
531,12/13/1959,0.35
532,12/14/1959,1.25
533,12/15/1959,2.65
534,12/16/1959,1.65
535,12/17/1959,0.15
536,12/18/1959,0.35
537,12/19/1959,0.4
538,12/20/1959,NA
539,12/21/1959,1.15
540,12/22/1959,1.25
541,12/23/1959,4.85
542,12/24/1959,2.4
543,12/25/1959,4.65
544,12/26/1959,8.15
545,12/27/1959,1.15
546,12/28/1959,2.7
547,12/29/1959,0.3
548,12/30/1959,0.65
549,12/31/1959,1.1
550,01/01/1960,0.15
551,01/02/1960,NA
552,01/03/1960,0.6
553,01/04/1960,NA
554,01/05/1960,NA
555,01/06/1960,0.65
556,01/07/1960,1.2
557,01/08/1960,NA
558,01/09/1960,0.2
559,01/10/1960,0.1
560,01/11/1960,NA
561,01/12/1960,NA
562,01/13/1960,0.05
563,01/14/1960,0.1
564,01/15/1960,0.1
565,01/16/1960,0.35
566,01/17/1960,3.25
567,01/18/1960,3.4
568,01/19/1960,2.85
569,01/20/1960,1.2
570,01/21/1960,1.45
571,01/22/1960,1.45
572,01/23/1960,1.1
573,01/24/1960,1.3
574,01/25/1960,0.25
575,01/26/1960,0.2
576,01/27/1960,0.3
577,01/28/1960,0.15
578,01/29/1960,0.45
579,01/30/1960,2.0
580,01/31/1960,0.3
581,02/01/1960,1.1
582,02/02/1960,0.15
583,02/03/1960,0.85
584,02/04/1960,0.15
585,02/05/1960,0.85
586,02/06/1960,0.5
587,02/07/1960,2.0
588,02/08/1960,1.35
589,02/09/1960,0.75
590,02/10/1960,0.25
591,02/11/1960,NA
592,02/12/1960,NA
593,02/13/1960,NA
594,02/14/1960,3.75
595,02/15/1960,1.35
596,02/16/1960,0.1
597,02/17/1960,1.15
598,02/18/1960,0.35
599,02/19/1960,NA
600,02/20/1960,1.15
601,02/21/1960,1.95
602,02/22/1960,1.2
603,02/23/1960,0.3
604,02/24/1960,NA
605,02/25/1960,1.5
606,02/26/1960,0.65
607,02/27/1960,0.95
608,02/28/1960,NA
609,02/29/1960,NA
610,03/01/1960,NA
611,03/02/1960,NA
612,03/03/1960,NA
613,03/04/1960,NA
614,03/05/1960,0.4
615,03/06/1960,0.7
616,03/07/1960,NA
617,03/08/1960,0.5
618,03/09/1960,0.55
619,03/10/1960,0.5
620,03/11/1960,0.35
621,03/12/1960,0.6
622,03/13/1960,1.25
623,03/14/1960,0.75
624,03/15/1960,1.15
625,03/16/1960,NA
