trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
30,7.951149023296639,2,4,3824,240,8,44,384,48,0.3,9.335608949404431e-05,9.644353610320956e-07,512
31,7.798695392084404,3,3,3408,240,12,56,320,64,0.25,7.169383863616146e-05,9.53978342339741e-06,2048
32,7.804738016470203,3,3,3280,240,11,60,320,64,0.25,3.724258481894781e-05,6.020368843237932e-06,2048
33,7.859983688820985,2,3,3520,240,12,52,256,80,0.2,7.70032253008699e-05,1.2365331458270632e-05,2048
34,8.089708429408086,3,4,3024,160,3,60,320,48,0.25,1.0296473530765624e-05,4.6737452733979836e-06,2048
35,7.687862276771603,4,1,2832,192,11,52,320,64,0.2,0.0001704085230828997,2.0689185896767846e-05,2048
36,7.8216521104193335,4,1,2864,192,11,40,384,16,0.2,0.00014704880345668052,2.1787616891819223e-05,2048
37,7.951463706066057,4,0,2624,208,10,48,448,80,0.2,0.0002140152869973037,5.342805871180883e-05,512
38,7.690495348027215,1,1,3184,160,11,52,192,32,0.1,0.0004612476073121198,0.0007920868986131125,2048
39,7.8634071774376055,0,1,2432,128,10,64,192,16,0.1,0.0003615042806244803,0.0003411434198842059,1024
40,7.804077193362488,1,0,3200,160,11,44,256,32,0.1,0.0010454654660086728,0.0007530798108875106,2048
41,7.991554244718327,0,1,2768,176,12,52,192,48,0.05,3.2352856114947764e-05,1.774401641520814e-06,2048
42,7.793550137890871,4,2,2880,144,11,48,256,32,0.1,0.0005423927170035187,0.00038238398821192004,2048
43,7.740273326128271,1,1,2640,224,12,52,320,96,0.15000000000000002,0.00011683190992032471,7.744501947054149e-07,2048
44,7.8032632556712755,0,0,3056,160,11,36,192,80,0.2,0.0017100575666629766,1.386151769582906e-05,2048
45,7.866711999700901,4,2,3456,192,9,40,256,64,0.1,0.002942185640609288,2.7772385538147223e-06,2048
46,7.721028914624246,2,6,3280,176,10,8,384,16,0.0,1.9442982655105677e-05,1.3370806540869551e-06,2048
47,7.930709419306815,3,6,3280,128,10,8,384,16,0.0,1.6378776404187274e-05,0.0009957815268672404,2048
48,7.8659142202493895,4,5,3616,64,11,8,448,32,0.05,1.6736515276409462e-05,2.542366273031665e-07,512
49,7.815941031900053,1,6,3856,176,7,16,64,32,0.0,2.6498293181379486e-05,0.00021070352749352035,2048
50,8.058169591968094,0,1,3248,144,9,8,192,16,0.0,0.007692819002728098,1.3699224571010204e-06,1024
51,7.894647734678883,2,5,3136,176,12,12,320,16,0.2,0.0001274393497106004,4.58404690290113e-07,2048
52,7.647494615408545,2,6,3040,208,11,4,384,96,0.05,9.658584829841545e-05,8.25575242589649e-05,2048
53,7.714390103960279,2,6,2864,224,11,4,384,112,0.05,3.828039115526817e-05,3.89891410269439e-05,2048
54,7.719628061821926,2,6,2848,224,11,4,448,112,0.05,0.000189613210846529,8.46910182792391e-05,2048
55,7.6714588216344355,2,6,3104,224,10,4,448,96,0.05,6.309813705307928e-05,3.5443758161647056e-05,2048
56,7.609303133249509,1,6,2720,224,10,16,512,96,0.05,0.00032380110029224974,3.77788429175175e-05,2048
57,7.665109965472573,1,5,2688,208,10,12,512,96,0.05,0.0004316300987565199,7.325873971217547e-05,2048
58,7.716730509678025,1,5,2704,224,8,16,512,96,0.05,0.00026372291961348257,7.450211101636491e-05,2048
59,7.756100975492724,1,6,2608,192,9,12,512,96,0.05,0.0006601357691045724,2.902258490541522e-05,2048
60,7.747570741480952,1,5,2384,208,10,20,512,96,0.05,0.0003389590361010285,4.539559313264917e-05,2048
61,7.682175750890354,1,6,2512,208,10,4,448,96,0.1,0.00036949238062720295,0.00017461436389587602,2048
62,7.689607600335655,1,6,2496,208,10,4,448,96,0.05,0.00011131111818544199,7.034090420971574e-05,2048
63,7.632941277509551,1,6,2688,224,9,12,512,96,0.1,0.00016351706600990827,0.00014074137976791736,2048
64,7.7196240662479205,1,6,2656,224,9,12,512,96,0.1,0.00034311247513349507,0.00015358053830412486,2048
65,7.696617528048857,1,5,2544,256,8,8,448,96,0.1,0.0011497857051667028,0.0001732849748530759,2048
66,7.661965748717002,1,6,2432,240,9,16,512,80,0.05,0.0005535727876638676,0.00011911572686084864,2048
