trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size,tweedie_p
24,239.91250247241726,2,2,3312,208,11,40,256,32,0.15000000000000002,0.0001641952948095324,0.0004085094349101178,512,1.6500000000000001
25,242.5025405502258,4,1,3408,176,9,28,192,48,0.1,0.0016799280679198605,6.0625689917508875e-05,512,1.6
26,241.44491942486457,3,3,3008,128,8,40,128,16,0.2,0.00032137623766878256,1.6418390799027675e-05,512,1.75
27,238.2308921672718,4,2,3184,160,11,20,256,80,0.25,9.865918409178151e-06,0.00029014063515595933,256,1.6500000000000001
28,245.59157805237723,3,2,3184,160,11,4,256,80,0.3,1.0242560193395357e-05,0.0003326897267374725,256,1.6
29,237.55613452114298,1,3,2832,160,11,12,64,96,0.25,6.517225502127317e-05,0.0005394999122542902,256,1.6500000000000001
30,246.48255631295865,1,4,2576,160,11,12,64,96,0.25,7.676489231702095e-06,0.0005898888081326063,256,1.6500000000000001
31,244.9350420224866,1,3,2816,144,12,12,64,96,0.25,8.900932463595939e-05,0.00019107975902399744,256,1.6500000000000001
32,242.77655646905689,0,2,3200,128,11,8,128,96,0.25,1.988140268393461e-05,0.0006355585561390088,256,1.6500000000000001
33,236.18664410955788,1,3,2880,160,10,20,64,80,0.2,5.144023100649256e-05,0.0003162331251708256,256,1.6500000000000001
34,242.85007297286725,1,1,2864,112,12,20,64,96,0.2,6.911463013809734e-05,6.335142363228043e-05,256,1.6
35,240.88379300232228,1,2,2624,160,10,16,64,80,0.3,1.5373168553406577e-05,0.00010773188382035469,256,1.6
36,240.13804368306444,0,4,2448,144,11,20,128,112,0.25,0.00028547215742252,0.0005749968881077148,256,1.6500000000000001
37,242.14699971661784,0,1,3072,112,10,8,64,64,0.2,1.4023127865160753e-06,3.406402858996532e-05,256,1.6
38,239.71320222483155,2,3,2736,256,4,16,128,80,0.3,4.117997211589749e-05,0.0002507262185437628,256,1.6500000000000001
39,237.49660639364046,1,2,2944,192,12,24,64,112,0.2,6.257793159016256e-06,0.00010646000917871334,256,1.6500000000000001
40,239.64580076071857,1,2,2912,208,12,24,384,128,0.25,1.433686149427049e-05,9.508636164236416e-05,256,1.6500000000000001
41,241.31421933669913,1,2,3056,160,12,32,64,112,0.2,6.229239323281233e-06,0.00042366101244165836,256,1.6500000000000001
