trial_number,trial_id,objective_value,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_residual,weight_decay
16,491,0.8539041315601624,256,relu,conv2d,1020,0.35,5.092042299592928e-05,32,768,144,softplus,32,4,False,4.363650979727536e-06
17,492,0.8551651501943675,64,relu,conv2d,1110,0.35,9.018391836921049e-05,16,1024,128,softplus,8,12,False,6.927040981632438e-05
18,493,0.8917365462966199,256,relu,flatten,1185,0.25,3.1601671969907606e-05,16,256,128,softplus,16,4,False,2.4007326206637946e-06
19,494,0.8580292382814637,256,relu,conv2d,1035,0.30000000000000004,7.893200255270468e-05,48,768,128,softplus,24,4,False,1.2573360997187253e-05
20,495,0.8677666423150181,64,relu,flatten,1140,0.35,6.212786767161778e-05,32,1024,144,softplus,32,12,False,4.4066225616114076e-05
21,496,0.8865818993387791,256,relu,conv2d,1080,0.30000000000000004,5.09839866906369e-05,16,256,160,softplus,8,8,False,2.9649477097709774e-06
22,497,0.8635799163838604,256,relu,conv2d,1065,0.25,7.391899574719419e-05,48,768,144,softplus,24,4,False,8.41739564235059e-06
23,498,0.8509873543624074,256,relu,conv2d,1065,0.25,7.956284323212746e-05,48,768,144,softplus,24,4,False,5.2532608813362696e-06
24,499,0.8663144662220139,256,relu,conv2d,975,0.25,9.78943732913803e-05,48,768,128,softplus,24,4,False,1.2357232154872793e-05
25,500,0.8575324827767883,256,relu,conv2d,1050,0.30000000000000004,6.633972735591228e-05,32,512,160,softplus,16,4,False,3.452258583704208e-06
26,501,0.8627577164379149,256,relu,conv2d,1125,0.25,8.390866938291826e-05,32,768,64,softplus,24,8,False,2.1807285717474118e-05
27,502,0.8518875713525874,256,relu,flatten,1200,0.35,5.562441544497151e-05,48,1024,144,softplus,32,4,False,1.044971026504262e-06
28,503,0.8635804506543026,256,relu,conv2d,1095,0.2,7.391124615791113e-05,16,512,160,softplus,16,4,False,1.1156826156791505e-05
29,504,0.8429498655989477,64,relu,flatten,1035,0.30000000000000004,3.3989023057527536e-05,32,768,128,softplus,24,8,False,2.2133964845338694e-06
30,505,0.8343381544140133,256,relu,conv2d,1140,0.2,8.766451247871451e-05,64,256,144,softplus,24,8,False,7.855703969534319e-05
31,506,0.8502979886850291,1024,relu,conv2d,1020,0.35,6.611395664936387e-05,16,768,96,softplus,24,12,False,2.7328765897467246e-05
32,507,0.8505248299252757,256,relu,conv2d,1155,0.2,8.900971377176632e-05,64,256,144,softplus,24,8,False,8.72191341802576e-05
33,508,0.8704038463256346,256,relu,conv2d,1125,0.2,8.198023584770902e-05,64,256,160,softplus,24,8,False,9.280077136833342e-05
34,509,0.8655735415419894,1024,relu,conv2d,1080,0.2,8.720628943454524e-05,64,256,144,softplus,24,8,False,0.00014203592445185718
35,510,0.8676788310810698,256,relu,conv2d,1170,0.25,7.501463619789672e-05,48,512,128,softplus,16,4,False,4.2581594483681836e-05
36,511,0.8645214390986019,1024,relu,flatten,1140,0.2,9.384245090186153e-05,64,512,112,softplus,32,8,False,6.653205310970769e-06
37,512,0.8689853863545784,256,relu,conv2d,990,0.30000000000000004,3.984273061013501e-05,16,256,96,softplus,16,4,False,7.902542714377148e-06
38,513,0.8542637548633581,256,relu,flatten,945,0.35,4.4022377507666376e-05,48,512,144,softplus,24,12,False,0.0003950322910380744
39,514,0.8636945226747604,256,relu,conv2d,1095,0.25,7.112594767079613e-05,16,512,160,softplus,8,8,False,4.627246154674814e-06
40,515,0.8626573834345485,64,relu,flatten,1050,0.2,3.7782428320914135e-05,64,256,128,softplus,24,4,False,1.4366428473942946e-05
41,516,0.8507565772383692,1024,relu,conv2d,1125,0.35,9.937189948862597e-05,32,1024,112,softplus,16,12,False,0.00015618112696201103
42,517,0.846522037553815,64,relu,flatten,1035,0.30000000000000004,3.5255287595358295e-05,32,768,128,softplus,24,8,False,1.997767399174353e-06
43,518,0.8444871993554915,64,relu,flatten,1005,0.30000000000000004,3.2884251986640896e-05,16,768,144,softplus,24,8,False,3.431016890888031e-06
44,519,0.8628509480976426,64,relu,flatten,1065,0.35,3.448774767535002e-05,32,768,112,softplus,24,8,False,5.854749638374374e-06
45,520,0.8459144188111395,64,relu,flatten,1035,0.30000000000000004,3.724149154639832e-05,16,768,160,softplus,24,8,False,9.101034905999994e-06
46,521,0.8569883961351707,64,relu,flatten,1170,0.35,4.165558730617666e-05,32,768,144,softplus,32,12,False,2.296289823345756e-06
47,522,0.8605476160042574,256,relu,flatten,1095,0.25,3.0398251287662922e-05,16,512,128,softplus,24,8,False,1.0219743983559705e-06
48,523,0.8777187033443923,256,relu,flatten,1050,0.30000000000000004,4.962362450255542e-05,64,768,144,softplus,24,4,False,4.314610622885611e-05
49,524,0.8845226891415569,64,relu,conv2d,1140,0.35,3.33384802876938e-05,48,1024,160,softplus,8,8,False,1.5901014804682168e-06
50,525,0.8547383688358051,256,relu,flatten,1110,0.30000000000000004,7.856568402540713e-05,32,256,128,softplus,32,4,False,1.7353390085294854e-05
