,datetime,precip_in
377,01/12/2018,0.000393701
378,01/13/2018,0.002755907
379,01/14/2018,0.0
380,01/15/2018,0.0
381,01/16/2018,0.012992133
382,01/17/2018,0.0
383,01/18/2018,0.013779534999999999
384,01/19/2018,0.022440956999999997
385,01/20/2018,0.005905514999999999
386,01/21/2018,0.06889767499999999
387,01/22/2018,0.057874047
388,01/23/2018,0.002362206
389,01/24/2018,0.024409462
390,01/25/2018,0.011417328999999999
391,01/26/2018,0.034251987
392,01/27/2018,0.007480319
393,01/28/2018,0.036614193
394,01/29/2018,0.0066929170000000005
395,01/30/2018,0.011811029999999998
396,01/31/2018,0.000393701
397,02/01/2018,0.014566936999999999
398,02/02/2018,0.03149608
399,02/03/2018,0.004724412
400,02/04/2018,0.001574804
401,02/05/2018,0.025590565
402,02/06/2018,0.16456701799999998
403,02/07/2018,0.300000162
404,02/08/2018,0.25629935099999995
405,02/09/2018,0.22559067300000002
406,02/10/2018,0.0393701
407,02/11/2018,0.00393701
408,02/12/2018,0.007086617999999999
409,02/13/2018,0.0
410,02/14/2018,0.001181103
411,02/15/2018,0.0035433089999999997
412,02/16/2018,0.000393701
413,02/17/2018,0.014566936999999999
414,02/18/2018,0.011811029999999998
415,02/19/2018,0.0
416,02/20/2018,0.005511814
417,02/21/2018,0.001968505
418,02/22/2018,0.017322844
419,02/23/2018,0.155511895
420,02/24/2018,0.006299216
421,02/25/2018,0.002755907
422,02/26/2018,0.025590565
423,02/27/2018,0.002362206
424,02/28/2018,0.0
425,03/01/2018,0.001968505
426,03/02/2018,0.004330711
427,03/03/2018,0.0066929170000000005
428,03/04/2018,0.001574804
429,03/05/2018,0.010236226
430,03/06/2018,0.006299216
431,03/07/2018,0.002755907
432,03/08/2018,0.002362206
433,03/09/2018,0.008661422
434,03/10/2018,0.005511814
435,03/11/2018,0.0
436,03/12/2018,0.0
437,03/13/2018,0.001574804
438,03/14/2018,0.001574804
439,03/15/2018,0.022834657999999997
440,03/16/2018,0.035039389
441,03/17/2018,0.046063017
442,03/18/2018,0.001181103
443,03/19/2018,0.00393701
444,03/20/2018,0.042126007
445,03/21/2018,0.016141740999999998
446,03/22/2018,0.013385834000000001
447,03/23/2018,0.0
448,03/24/2018,0.024015761
449,03/25/2018,0.001181103
450,03/26/2018,0.001181103
451,03/27/2018,0.046850419
452,03/28/2018,0.006299216
453,03/29/2018,0.0
454,03/30/2018,0.0
455,03/31/2018,0.0
456,04/01/2018,0.0
457,04/02/2018,0.005905514999999999
458,04/03/2018,0.06496066499999999
459,04/04/2018,0.027165368999999998
460,04/05/2018,0.001968505
461,04/06/2018,0.0
462,04/07/2018,0.03543309
463,04/08/2018,0.081889808
464,04/09/2018,0.027165368999999998
465,04/10/2018,0.011023628
466,04/11/2018,0.011023628
467,04/12/2018,0.002362206
468,04/13/2018,0.011417328999999999
469,04/14/2018,0.092519735
470,04/15/2018,0.065354366
471,04/16/2018,0.089370127
472,04/17/2018,0.116929197
473,04/18/2018,0.00393701
474,04/19/2018,0.009055123
475,04/20/2018,0.0
476,04/21/2018,0.079527602
477,04/22/2018,0.0
478,04/23/2018,0.004724412
479,04/24/2018,0.009448824
480,04/25/2018,0.001181103
481,04/26/2018,0.0
482,04/27/2018,0.020866153
483,04/28/2018,0.000393701
484,04/29/2018,0.000787402
485,04/30/2018,0.0
486,05/01/2018,0.004724412
487,05/02/2018,0.029527575
488,05/03/2018,0.0
489,05/04/2018,0.011023628
490,05/05/2018,0.043700811
491,05/06/2018,0.124409516
492,05/07/2018,0.042913409
493,05/08/2018,0.003149608
494,05/09/2018,0.127952825
495,05/10/2018,0.014960638
496,05/11/2018,0.001181103
497,05/12/2018,0.0
498,05/13/2018,0.0
499,05/14/2018,0.0
500,05/15/2018,0.0066929170000000005
501,05/16/2018,0.005905514999999999
502,05/17/2018,0.003149608
503,05/18/2018,0.000787402
504,05/19/2018,0.00787402
505,05/20/2018,0.0
506,05/21/2018,0.000787402
507,05/22/2018,0.0
508,05/23/2018,0.0
509,05/24/2018,0.0035433089999999997
510,05/25/2018,0.001968505
511,05/26/2018,0.047244119999999994
512,05/27/2018,0.0
513,05/28/2018,0.0
514,05/29/2018,0.09881895099999999
515,05/30/2018,0.001574804
516,05/31/2018,0.018110246
517,06/01/2018,0.0
518,06/02/2018,0.0035433089999999997
519,06/03/2018,0.001181103
520,06/04/2018,0.0
521,06/05/2018,0.000393701
522,06/06/2018,0.0
523,06/07/2018,0.001181103
524,06/08/2018,0.00393701
525,06/09/2018,0.000393701
526,06/10/2018,0.000393701
527,06/11/2018,0.0
528,06/12/2018,0.0
529,06/13/2018,0.008267720999999999
530,06/14/2018,0.000393701
531,06/15/2018,0.000787402
532,06/16/2018,0.001574804
533,06/17/2018,0.016929143
534,06/18/2018,0.0
535,06/19/2018,0.0
536,06/20/2018,0.008661422
537,06/21/2018,0.0
538,06/22/2018,0.033464585
539,06/23/2018,0.009842525
540,06/24/2018,0.0
541,06/25/2018,0.000787402
542,06/26/2018,0.0
543,06/27/2018,0.0
544,06/28/2018,0.033070883999999995
545,06/29/2018,0.003149608
546,06/30/2018,0.000393701
547,07/01/2018,0.001574804
548,07/02/2018,0.001968505
549,07/03/2018,0.017322844
550,07/04/2018,0.051968532
551,07/05/2018,0.143307164
552,07/06/2018,0.024803163
553,07/07/2018,0.003149608
554,07/08/2018,0.014173235999999999
555,07/09/2018,0.0
556,07/10/2018,0.003149608
557,07/11/2018,0.010629927
558,07/12/2018,0.001968505
559,07/13/2018,0.006299216
560,07/14/2018,0.00393701
561,07/15/2018,0.011417328999999999
562,07/16/2018,0.018897648
563,07/17/2018,0.0
564,07/18/2018,0.0
565,07/19/2018,0.0
566,07/20/2018,0.042519708
567,07/21/2018,0.004724412
568,07/22/2018,0.001968505
569,07/23/2018,0.0
570,07/24/2018,0.0
571,07/25/2018,0.0
572,07/26/2018,0.0
573,07/27/2018,0.004330711
574,07/28/2018,0.0
575,07/29/2018,0.005511814
576,07/30/2018,0.001968505
577,07/31/2018,0.001968505
578,08/01/2018,0.022834657999999997
579,08/02/2018,0.000393701
580,08/03/2018,0.039763801
581,08/04/2018,0.000787402
582,08/05/2018,0.0
583,08/06/2018,0.0
584,08/07/2018,0.0
585,08/08/2018,0.0
586,08/09/2018,0.011023628
587,08/10/2018,0.014566936999999999
588,08/11/2018,0.000787402
589,08/12/2018,0.012204731
590,08/13/2018,0.007480319
591,08/14/2018,0.005118113
592,08/15/2018,0.025196864
593,08/16/2018,0.125590619
594,08/17/2018,0.037795296
595,08/18/2018,0.129527629
596,08/19/2018,0.0
597,08/20/2018,0.001181103
598,08/21/2018,0.0066929170000000005
599,08/22/2018,0.0
600,08/23/2018,0.0
601,08/24/2018,0.0
602,08/25/2018,0.0
603,08/26/2018,0.006299216
604,08/27/2018,0.032677183
605,08/28/2018,0.0
606,08/29/2018,0.000787402
607,08/30/2018,0.010629927
608,08/31/2018,0.00393701
609,09/01/2018,0.001181103
610,09/02/2018,0.009055123
611,09/03/2018,0.040551203
612,09/04/2018,0.000393701
613,09/05/2018,0.002755907
614,09/06/2018,0.0
615,09/07/2018,0.0
616,09/08/2018,0.0
617,09/09/2018,0.0
618,09/10/2018,0.008267720999999999
619,09/11/2018,0.0
620,09/12/2018,0.004724412
621,09/13/2018,0.10748037299999999
622,09/14/2018,0.0
623,09/15/2018,0.0
624,09/16/2018,0.0
625,09/17/2018,0.032283481999999995
626,09/18/2018,0.024409462
627,09/19/2018,0.050000026999999996
628,09/20/2018,0.005511814
629,09/21/2018,0.0
630,09/22/2018,0.001574804
631,09/23/2018,0.003149608
632,09/24/2018,0.0
633,09/25/2018,0.001574804
634,09/26/2018,0.015354339
635,09/27/2018,0.001181103
636,09/28/2018,0.005118113
637,09/29/2018,0.0
638,09/30/2018,0.01968505
639,10/01/2018,0.013779534999999999
640,10/02/2018,0.043700811
641,10/03/2018,0.001574804
642,10/04/2018,0.001181103
643,10/05/2018,0.0
644,10/06/2018,0.0
645,10/07/2018,0.0
646,10/08/2018,0.025196864
647,10/09/2018,0.010629927
648,10/10/2018,0.132677237
649,10/11/2018,0.005511814
650,10/12/2018,0.002362206
651,10/13/2018,0.005118113
652,10/14/2018,0.0035433089999999997
653,10/15/2018,0.0
654,10/16/2018,0.005118113
655,10/17/2018,0.024803163
656,10/18/2018,0.014960638
657,10/19/2018,0.095669343
658,10/20/2018,0.037795296
659,10/21/2018,0.023228358999999997
660,10/22/2018,0.013385834000000001
661,10/23/2018,0.001574804
662,10/24/2018,0.0
663,10/25/2018,0.0
664,10/26/2018,0.0
665,10/27/2018,0.010236226
666,10/28/2018,0.000393701
667,10/29/2018,0.0
668,10/30/2018,0.0
669,10/31/2018,0.0
670,11/01/2018,0.000393701
671,11/02/2018,0.009055123
672,11/03/2018,0.016535441999999997
673,11/04/2018,0.009448824
674,11/05/2018,0.17125993499999997
675,11/06/2018,0.065354366
676,11/07/2018,0.15039378199999998
677,11/08/2018,0.014173235999999999
678,11/09/2018,0.0
679,11/10/2018,0.00393701
680,11/11/2018,0.013385834000000001
681,11/12/2018,0.0
682,11/13/2018,0.0
683,11/14/2018,0.057874047
684,11/15/2018,0.07992130299999999
685,11/16/2018,0.003149608
686,11/17/2018,0.040551203
687,11/18/2018,0.0
688,11/19/2018,0.001181103
689,11/20/2018,0.0
690,11/21/2018,0.012598432
691,11/22/2018,0.000787402
692,11/23/2018,0.002755907
693,11/24/2018,0.0
694,11/25/2018,0.004330711
695,11/26/2018,0.035039389
696,11/27/2018,0.011023628
697,11/28/2018,0.0
698,11/29/2018,0.022440956999999997
699,11/30/2018,0.005118113
700,12/01/2018,0.012204731
701,12/02/2018,0.0
702,12/03/2018,0.002755907
703,12/04/2018,0.005905514999999999
704,12/05/2018,0.012204731
705,12/06/2018,0.000787402
706,12/07/2018,0.051968532
707,12/08/2018,0.05905515
708,12/09/2018,0.10433076499999999
709,12/10/2018,0.23307099199999998
710,12/11/2018,0.073622087
711,12/12/2018,0.018110246
712,12/13/2018,0.0
713,12/14/2018,0.000393701
714,12/15/2018,0.001968505
715,12/16/2018,0.011811029999999998
716,12/17/2018,0.000393701
717,12/18/2018,0.0
718,12/19/2018,0.0
719,12/20/2018,0.030314977
720,12/21/2018,0.004330711
721,12/22/2018,0.018503947
722,12/23/2018,0.050393728
723,12/24/2018,0.074409489
724,12/25/2018,0.012204731
725,12/26/2018,0.021653555
726,12/27/2018,0.063385861
727,12/28/2018,0.024803163
728,12/29/2018,0.013385834000000001
729,12/30/2018,0.0066929170000000005
730,12/31/2018,0.0
731,01/01/2019,0.060236253
732,01/02/2019,0.04330711
733,01/03/2019,0.0
734,01/04/2019,0.0
735,01/05/2019,0.011811029999999998
736,01/06/2019,0.005511814
737,01/07/2019,0.116929197
738,01/08/2019,0.010629927
739,01/09/2019,0.000393701
740,01/10/2019,0.012204731
741,01/11/2019,0.014566936999999999
742,01/12/2019,0.004330711
743,01/13/2019,0.009448824
744,01/14/2019,0.010629927
745,01/15/2019,0.024409462
746,01/16/2019,0.003149608
747,01/17/2019,0.002362206
748,01/18/2019,0.053937037
749,01/19/2019,0.000787402
750,01/20/2019,0.0066929170000000005
751,01/21/2019,0.005511814
752,01/22/2019,0.000393701
753,01/23/2019,0.017716545
754,01/24/2019,0.014566936999999999
755,01/25/2019,0.007086617999999999
756,01/26/2019,0.056692943999999995
757,01/27/2019,0.017322844
758,01/28/2019,0.0
759,01/29/2019,0.0
760,01/30/2019,0.0
761,01/31/2019,0.0
762,02/01/2019,0.0
763,02/02/2019,0.0035433089999999997
764,02/03/2019,0.027165368999999998
765,02/04/2019,0.08897642599999998
766,02/05/2019,0.004330711
767,02/06/2019,0.0
768,02/07/2019,0.008661422
769,02/08/2019,0.0
770,02/09/2019,0.012598432
771,02/10/2019,0.01968505
772,02/11/2019,0.058661449
773,02/12/2019,0.0
774,02/13/2019,0.0
775,02/14/2019,0.0
776,02/15/2019,0.013779534999999999
777,02/16/2019,0.005511814
778,02/17/2019,0.008661422
779,02/18/2019,0.005511814
780,02/19/2019,0.000787402
781,02/20/2019,0.048818924
782,02/21/2019,0.007480319
783,02/22/2019,0.21063003499999997
784,02/23/2019,0.12874022699999998
785,02/24/2019,0.020472452
786,02/25/2019,0.188189078
787,02/26/2019,0.11102368199999998
788,02/27/2019,0.025590565
789,02/28/2019,0.018110246
790,03/01/2019,0.020866153
791,03/02/2019,0.00393701
792,03/03/2019,0.0
793,03/04/2019,0.005511814
794,03/05/2019,0.009842525
795,03/06/2019,0.00787402
796,03/07/2019,0.001181103
797,03/08/2019,0.00787402
798,03/09/2019,0.0
799,03/10/2019,0.0
800,03/11/2019,0.00787402
801,03/12/2019,0.0
802,03/13/2019,0.031889781
803,03/14/2019,0.037795296
804,03/15/2019,0.0
805,03/16/2019,0.0
806,03/17/2019,0.011417328999999999
807,03/18/2019,0.0
808,03/19/2019,0.035039389
809,03/20/2019,0.041732306
810,03/21/2019,0.016929143
811,03/22/2019,0.013779534999999999
812,03/23/2019,0.0
813,03/24/2019,0.005511814
814,03/25/2019,0.014960638
815,03/26/2019,0.028346471999999998
816,03/27/2019,0.000787402
817,03/28/2019,0.0
818,03/29/2019,0.0
819,03/30/2019,0.0
820,03/31/2019,0.0
821,04/01/2019,0.0035433089999999997
822,04/02/2019,0.042913409
823,04/03/2019,0.000393701
824,04/04/2019,0.000393701
825,04/05/2019,0.0
826,04/06/2019,0.002362206
827,04/07/2019,0.006299216
828,04/08/2019,0.0
829,04/09/2019,0.023228358999999997
830,04/10/2019,0.002755907
831,04/11/2019,0.0
832,04/12/2019,0.000787402
833,04/13/2019,0.0
834,04/14/2019,0.017322844
835,04/15/2019,0.0
836,04/16/2019,0.00393701
837,04/17/2019,0.005511814
838,04/18/2019,0.007480319
839,04/19/2019,0.032677183
840,04/20/2019,0.0066929170000000005
841,04/21/2019,0.013779534999999999
842,04/22/2019,0.021259854
843,04/23/2019,0.00393701
844,04/24/2019,0.000393701
845,04/25/2019,0.025196864
846,04/26/2019,0.09960635299999998
847,04/27/2019,0.0
848,04/28/2019,0.029133873999999997
849,04/29/2019,0.004724412
850,04/30/2019,0.004724412
851,05/01/2019,0.005118113
852,05/02/2019,0.007480319
853,05/03/2019,0.08897642599999998
854,05/04/2019,0.051574831
855,05/05/2019,0.0035433089999999997
856,05/06/2019,0.0
857,05/07/2019,0.028740172999999997
858,05/08/2019,0.105511868
859,05/09/2019,0.001574804
860,05/10/2019,0.077559097
861,05/11/2019,0.018110246
862,05/12/2019,0.050000026999999996
863,05/13/2019,0.08070870499999999
864,05/14/2019,0.029133873999999997
865,05/15/2019,0.000393701
866,05/16/2019,0.050787429
867,05/17/2019,0.014173235999999999
868,05/18/2019,0.009842525
869,05/19/2019,0.005905514999999999
870,05/20/2019,0.000393701
871,05/21/2019,0.0
872,05/22/2019,0.0
873,05/23/2019,0.000393701
874,05/24/2019,0.0
875,05/25/2019,0.0
876,05/26/2019,0.025196864
877,05/27/2019,0.022440956999999997
878,05/28/2019,0.009842525
879,05/29/2019,0.004724412
880,05/30/2019,0.021653555
881,05/31/2019,0.0
882,06/01/2019,0.0
883,06/02/2019,0.0
884,06/03/2019,0.004330711
885,06/04/2019,0.008661422
886,06/05/2019,0.002362206
887,06/06/2019,0.0
888,06/07/2019,0.0
889,06/08/2019,0.003149608
890,06/09/2019,0.010629927
891,06/10/2019,0.008267720999999999
892,06/11/2019,0.10708667200000001
893,06/12/2019,0.00787402
894,06/13/2019,0.000393701
895,06/14/2019,0.0
896,06/15/2019,0.002755907
897,06/16/2019,0.009842525
898,06/17/2019,0.009055123
899,06/18/2019,0.002755907
900,06/19/2019,0.000393701
901,06/20/2019,0.000393701
902,06/21/2019,0.008661422
903,06/22/2019,0.001968505
904,06/23/2019,0.0
905,06/24/2019,0.000787402
906,06/25/2019,0.004330711
907,06/26/2019,0.001574804
908,06/27/2019,0.0
909,06/28/2019,0.020472452
910,06/29/2019,0.013385834000000001
911,06/30/2019,0.000787402
912,07/01/2019,0.016929143
913,07/02/2019,0.012598432
914,07/03/2019,0.009055123
915,07/04/2019,0.00787402
916,07/05/2019,0.004724412
917,07/06/2019,0.010236226
918,07/07/2019,0.018503947
919,07/08/2019,0.0
920,07/09/2019,0.0
921,07/10/2019,0.004330711
922,07/11/2019,0.000787402
923,07/12/2019,0.000393701
924,07/13/2019,0.002362206
925,07/14/2019,0.036614193
926,07/15/2019,0.0035433089999999997
927,07/16/2019,0.000787402
928,07/17/2019,0.000787402
929,07/18/2019,0.014960638
930,07/19/2019,0.001181103
931,07/20/2019,0.0
932,07/21/2019,0.000393701
933,07/22/2019,0.13818905099999998
934,07/23/2019,0.047637821
935,07/24/2019,0.020866153
936,07/25/2019,0.00787402
937,07/26/2019,0.175196945
938,07/27/2019,0.05905515
939,07/28/2019,0.014960638
940,07/29/2019,0.015354339
941,07/30/2019,0.0
