trial,value,local_dem_cfg,regional_dem_cfg,lightweight,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
25,2057.5035276973845,4,1,False,150,48,6,8,240,32,0.45,6.443800803328631e-05,6.463203197013235e-05,256
26,2299.8096234682216,1,0,False,150,48,6,12,240,32,0.45,0.00012813426863656594,6.130149403081258e-05,128
27,2170.6294736679515,5,3,False,210,64,4,4,256,48,0.35,6.505975156113229e-05,8.815567447496816e-05,512
28,2355.222156992891,4,2,False,150,48,5,16,240,32,0.45,0.00015237608999831158,0.0001607764475922881,1024
29,2441.681272171049,2,4,True,180,48,7,8,192,48,0.4,0.00029252117505151534,0.00031406141949576026,128
30,2312.1058657577905,3,1,False,120,64,3,12,176,32,0.3,0.0008431383991436538,0.00030746093256916074,256
31,2210.571631491532,4,1,False,240,32,6,8,160,16,0.5,5.3146396229449244e-05,1.755843601897398e-05,256
32,2121.3274696247186,4,2,False,270,32,9,24,208,16,0.55,1.875691933179134e-05,3.1287397945089574e-05,256
33,2092.499706747389,5,1,False,180,48,7,8,112,32,0.45,8.42643826412625e-05,4.438577622555389e-05,256
34,2128.468485072677,6,0,True,150,32,4,4,240,64,0.35,3.4639389776801626e-05,2.097932714908923e-05,1024
35,2316.839806260717,5,3,False,120,16,5,12,176,16,0.6,2.9894380489656243e-05,0.0006638507188322677,1024
36,2126.5680759521515,4,2,True,330,48,8,8,64,32,0.4,1.290853098098072e-05,7.51455368093891e-05,256
37,2370.050417038241,3,1,False,270,32,11,4,160,16,0.5,0.0001486325692074992,1.3826100624418575e-05,1024
38,2218.1439174659804,2,4,True,480,16,6,12,224,16,0.45,2.0525460238584945e-05,3.408032095600759e-05,256
39,2149.3614680164424,3,0,False,420,48,7,8,208,64,0.55,4.982136683976327e-05,0.00013419596036774332,1024
40,2148.242382099939,2,6,False,210,64,5,16,112,48,0.45,9.833026888501105e-05,5.331652291396767e-05,128
41,2449.356710323206,0,2,False,120,64,9,20,224,32,0.4,1.3747746111098498e-05,0.0009282169007186343,128
42,2024.1172486047271,0,2,False,120,64,9,16,240,32,0.4,1.679386685770158e-05,0.0006786615807521817,128
43,2131.99731781407,0,1,False,150,64,10,20,240,32,0.35,1.7523406766696984e-05,0.0007503602913883545,128
44,2101.624738660336,0,3,False,120,32,8,16,256,32,0.4,1.0985993708805512e-05,0.0005576229619547581,128
45,2272.4851064666705,1,2,False,180,16,11,16,240,16,0.3,0.00025307671137053775,0.0003548800062939589,512
46,2282.0200443684084,3,5,True,150,64,7,12,192,32,0.45,2.0775861026999577e-05,0.00042808229102756325,128
47,2111.7173353615854,0,1,False,120,48,9,8,208,48,0.5,1.6109906814964245e-05,1.2559040626130428e-05,256
48,2240.872798736163,1,3,False,210,32,6,12,224,32,0.4,3.0773148387964945e-05,0.0006850543603201794,128
49,2407.118945193195,3,2,False,150,48,8,4,176,16,0.4,3.974825026386207e-05,0.00019572246270075516,1024
50,2232.7609247895975,4,1,False,180,48,10,24,208,32,0.45,1.2607120495628681e-05,2.0586105665978587e-05,512
51,2272.955109693033,0,2,False,120,64,9,16,224,32,0.4,1.5632538886519692e-05,0.0008245231120853209,128
52,2218.2468059165117,0,2,False,120,64,9,16,256,32,0.45,1.2393030942269673e-05,0.000608926454792347,128
53,2095.0599751703335,1,3,False,150,64,10,20,240,32,0.4,2.318546412943113e-05,0.0004383884835189113,128
54,2108.041836978045,0,2,False,120,64,8,16,144,16,0.35,1.53961353644989e-05,0.0009991382114901888,128
55,2514.158820471304,1,1,False,360,32,7,20,128,48,0.5,0.00017053427717476384,0.000818254746350071,128
56,2150.5894988981795,0,0,False,150,48,6,8,224,32,0.6,1.0211488536137072e-05,1.2772081391588785e-05,256
57,2181.9378910323103,1,3,False,180,64,11,16,208,16,0.35,2.823681562849463e-05,9.716904025841957e-05,128
58,2108.867695593348,2,2,False,450,32,5,12,80,32,0.45,0.00011757549985841746,0.0005413604380317391,1024
59,2292.5818169660924,4,4,True,330,48,8,8,256,32,0.4,7.826734376357634e-05,4.6021422421952607e-05,256
60,2034.8448118609092,5,1,False,120,64,9,12,192,16,0.55,5.823378367223594e-05,0.0004824971038847476,128
61,2064.59860282157,6,1,False,120,64,9,12,192,16,0.55,6.507894940586907e-05,0.0007983361540251038,128
62,2366.1405738338626,6,1,False,120,64,10,12,192,16,0.55,6.214562678622551e-05,0.0005060219231068599,128
63,2178.6625494487853,6,0,False,150,64,9,12,160,16,0.55,4.120939345478379e-05,0.00038350419376732885,128
64,2254.5220261555755,5,1,False,120,64,7,8,192,16,0.6,8.85977503880709e-05,0.0008099997348829978,128
65,2071.4860272847855,5,0,False,180,64,9,12,208,16,0.5,5.9425294868631134e-05,1.4918613515267515e-05,128
66,2277.7524960542446,5,0,False,180,64,9,12,208,16,0.5,5.729045715148517e-05,0.0002445840991184053,128
67,2121.2846237848785,6,0,False,150,64,10,12,176,16,0.5,7.377066795804065e-05,1.5622581979989856e-05,128
68,2126.20415024716,5,0,False,120,64,6,12,192,16,0.55,4.590433917535476e-05,1.0932726766919023e-05,128
69,2145.835134972658,6,1,False,150,64,9,12,240,16,0.5,0.00010585451613205254,2.6309992516352554e-05,128
70,2147.4449159295687,5,1,False,180,64,10,12,192,16,0.55,0.00013241203619852326,0.0006574305808049309,512
71,2307.882991076362,4,1,False,120,32,8,8,144,16,0.6,5.982731685115874e-05,1.5132343720579212e-05,256
72,2068.5938386995476,5,0,False,240,64,9,8,112,16,0.55,4.451918577335918e-05,1.7884405886333543e-05,1024
73,2252.4527016966676,5,0,False,240,64,9,8,208,16,0.55,3.392232706028456e-05,2.2349731906094263e-05,1024
74,2295.2138950808258,5,0,False,210,64,9,8,224,16,0.55,9.24652326109255e-05,1.1286689084180963e-05,1024
75,2145.847065185075,6,0,False,150,64,8,12,112,16,0.5,6.887603265127689e-05,0.00014842402226779143,1024
76,2236.998658963213,5,0,True,120,64,10,8,96,16,0.55,4.6307042613243726e-05,0.0007380258037657979,1024
77,2232.3655846525858,4,1,False,240,64,5,4,176,16,0.5,5.232217260369972e-05,6.873657820225307e-05,128
78,2173.0248872907905,6,2,False,150,48,7,12,224,16,0.55,8.209578982205316e-05,0.0008861119551863966,1024
79,2161.865312073966,5,0,False,210,48,9,16,240,16,0.5,6.896751357926772e-05,3.227637888391711e-05,128
80,2118.725841744842,4,3,False,270,64,11,12,208,16,0.45,4.257649813187225e-05,1.9186219241313732e-05,1024
81,2135.192984783884,4,1,False,270,32,8,8,128,16,0.6,5.361262571731436e-05,1.696526980021668e-05,256
82,2058.1609352717655,5,1,False,300,32,9,8,96,16,0.6,1.9218483551329784e-05,1.337651387758255e-05,256
83,2161.1502795478314,5,1,False,300,64,9,8,80,16,0.6,0.0002449597787675655,1.4287550457056597e-05,256
84,2083.128084317897,5,2,False,120,32,6,4,112,16,0.55,3.7682256300246085e-05,1.2208032369189683e-05,128
85,2298.75203512555,5,1,False,180,64,10,12,96,16,0.45,0.0005002023763853199,0.0006166421659465525,128
86,2177.7964795017638,6,2,False,150,64,9,8,80,48,0.5,2.173637349246389e-05,1.3932328677804276e-05,512
87,2213.0102181442603,5,0,False,120,32,9,8,48,32,0.55,1.7622450167713793e-05,0.000485459417506772,256
88,2304.195841748999,6,1,True,150,16,6,16,192,16,0.45,1.1426213478111784e-05,1.009879569730179e-05,1024
89,2084.34317169913,4,2,False,300,48,10,12,160,32,0.6,3.26215208095474e-05,1.7439679187640157e-05,128
90,2262.793635716795,5,4,False,360,48,8,8,224,16,0.5,0.00012130000272842483,2.5129678434972307e-05,128
91,2095.238452105163,3,1,False,300,32,9,8,112,16,0.6,1.858592876244071e-05,1.9846580281607046e-05,256
92,2141.966509878932,3,1,False,330,32,8,8,128,16,0.6,1.4286461513727662e-05,1.2008229314899303e-05,256
93,2188.0363525390285,5,1,False,330,32,9,8,96,16,0.6,2.6272709172058888e-05,2.915335397046583e-05,256
94,2117.0355860043596,2,1,False,120,32,7,4,208,16,0.55,2.505549121316987e-05,0.0005881119783021909,256
95,2094.3354315282863,4,5,False,270,32,8,12,112,16,0.6,1.9952176375457894e-05,2.3413172017832064e-05,256
96,2054.852143476401,2,0,False,150,64,9,8,128,64,0.45,7.504112748459584e-05,1.8407999437161854e-05,128
97,1992.9143254682713,2,0,False,150,64,10,8,128,64,0.45,9.562222895126676e-05,0.0007394503458467517,128
98,2466.1992056533,2,0,False,150,64,10,8,128,64,0.45,9.967985547277535e-05,0.0006996174349339572,128
99,2241.948551274933,1,7,False,120,64,5,8,144,64,0.45,7.795064744705053e-05,0.0008128445905653554,128
