rainfall,date
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
34.15,043_1962-02
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
13.6,044_1962-03
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
23.85,045_1962-04
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
21.9,046_1962-05
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
17.05,047_1962-06
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
34.650000000000006,049_1962-08
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.749999999999998,050_1962-09
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
12.55,051_1962-10
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
20.299999999999997,052_1962-11
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
13.750000000000004,054_1963-01
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
24.3,056_1963-03
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
20.65,057_1963-04
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
26.1,058_1963-05
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
