trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
149,238.6619908626702,3,3,2272,176,12,8,464,128,0.15000000000000002,4.368983872117811e-06,2.155128518330136e-08,512
150,240.0458624385777,3,2,2336,192,12,8,448,128,0.15000000000000002,7.418300244627326e-06,1.0034845326250678e-08,512
151,238.2503545393478,3,3,2400,192,12,4,384,128,0.2,1.9037438614586332e-06,1.4726494763906422e-08,256
152,238.03076550197815,3,3,2240,192,12,12,400,112,0.15000000000000002,5.643050749460682e-06,3.377427776596318e-08,512
153,237.5950972345466,2,3,2304,208,12,4,432,128,0.1,2.6371633620465455e-06,1.860724354646749e-08,512
154,236.5329057710295,0,3,2304,208,12,8,432,128,0.05,2.5151422909141774e-06,1.9834321543279078e-08,512
155,239.7486841977483,0,3,2320,192,12,4,448,128,0.05,1.3771442387464925e-06,1.7499892875250387e-08,512
156,238.44581600462035,0,3,2288,208,12,8,432,128,0.1,2.6958708095233518e-06,2.431117618756377e-08,512
157,240.37038506439293,2,3,2496,208,12,16,448,128,0.0,3.865488522134948e-06,1.969618649228405e-08,512
158,238.7131957090886,1,3,2368,192,12,8,464,128,0.05,3.0064849428922253e-06,1.2334255154488245e-08,512
159,241.38185915201856,2,3,3856,192,12,4,432,128,0.1,6.161959120108756e-06,1.5781144556996608e-08,512
160,238.91845690496143,3,3,2272,208,12,12,464,112,0.2,4.646145529054287e-06,4.242903298924562e-08,512
161,235.80973970217906,0,3,2320,208,12,4,432,128,0.1,9.56730166301962e-06,3.102114851759924e-08,512
162,239.83645718765487,1,3,2336,208,12,4,432,128,0.1,2.4970608448912456e-06,3.0922196082683307e-08,512
163,238.28212113274972,0,3,2384,208,12,4,416,128,0.05,3.428617562877826e-06,2.615708880650196e-08,1024
164,236.91522193781847,0,3,2304,192,12,8,448,128,0.1,1.0027137880537656e-05,2.2145063589685724e-08,512
165,239.89430620359144,0,3,2304,208,12,8,432,128,0.1,7.34589432198826e-06,3.754650294355948e-08,512
166,237.45013313954055,0,3,2416,176,12,12,448,128,0.1,1.1115443320134764e-05,1.4162587364783346e-08,512
167,238.23568779853068,0,3,2416,160,12,12,480,128,0.1,5.991046641709638e-06,1.4740032762582492e-08,512
168,240.9550652384687,0,3,2432,176,12,8,448,128,0.1,1.0123396057400627e-05,2.0004488846996685e-08,512
169,238.58401676275943,0,3,2368,176,12,4,464,128,0.05,1.0963292824838825e-06,1.1690559882289e-08,512
170,236.71224810614945,0,3,2320,176,12,8,448,128,0.1,4.833885279947656e-06,2.54335256962051e-08,512
171,241.3484757568398,0,3,2336,176,11,8,416,128,0.1,1.959831439749474e-06,2.4833486804186227e-08,512
172,238.90959912770063,0,3,2480,176,12,8,400,112,0.1,4.736273932283906e-06,3.1379476853867364e-08,512
173,239.31687069423438,0,3,2400,160,12,12,432,128,0.05,7.912411293339384e-06,1.6745528020506295e-08,512
174,237.2737595778078,0,3,2304,192,12,4,448,128,0.1,3.881650008246984e-06,2.011107121922686e-08,512
175,235.64755552158553,0,3,2304,192,12,4,448,128,0.1,3.6286174464359812e-06,4.664101425198588e-08,512
176,237.5688936158477,0,3,2304,192,12,4,448,128,0.1,3.788588451539235e-06,3.988809622899878e-08,512
177,239.1014356126752,0,3,2352,192,12,4,464,128,0.1,3.342346104435631e-06,3.703301468279918e-08,512
178,238.11167480297027,0,3,2288,192,12,4,448,128,0.1,2.8034297921028046e-06,4.710346631438423e-08,512
179,238.95081985315358,0,3,2320,192,12,4,464,128,0.1,4.245706480292901e-06,2.7071460016991808e-08,512
180,241.82350396463585,0,3,2272,192,8,4,480,128,0.1,1.4070318588915803e-06,4.346929484614463e-08,512
181,238.8731287884173,1,3,2352,192,12,8,448,128,0.1,2.0345232901172956e-06,1.8224223314619175e-08,512
182,238.42103915236558,0,3,2304,192,12,8,432,128,0.05,3.6182938755211583e-06,2.9287234971384357e-08,512
183,244.8077684422617,0,3,2272,208,3,4,464,128,0.0,2.4596615786448844e-06,2.2112701485189407e-08,512
184,237.94865351819837,0,3,2320,176,12,4,432,128,0.15000000000000002,5.008184114103658e-06,2.3869256253576067e-08,512
185,236.98616786887433,0,3,2304,176,12,8,448,128,0.1,6.602322658238523e-06,1.5324471592463558e-08,512
186,236.9942008436424,0,3,2272,160,12,8,448,128,0.1,7.290993234684122e-06,1.4815804439497213e-08,512
