dataset,status,shape_a,shape_b,mean_abs_diff,max_abs_diff
date_006_1959-01/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/shum_700,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/shum_925,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/slp,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_006_1959-01/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_006_1959-01/grid_points,only_in_a,"(25, 2)",,,
date_006_1959-01/local_patches,only_in_a,"(25, 3, 3)",,,
date_006_1959-01/month_one_hot,only_in_a,"(12,)",,,
date_006_1959-01/rainfall,only_in_a,"(25,)",,,
date_006_1959-01/regional_patches,only_in_a,"(25, 3, 3)",,,
date_007_1959-02/climate_vars/air_2m,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/omega_500,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/shum_700,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/shum_925,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/slp,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_007_1959-02/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_007_1959-02/grid_points,only_in_a,"(25, 2)",,,
date_007_1959-02/local_patches,only_in_a,"(25, 3, 3)",,,
date_007_1959-02/month_one_hot,only_in_a,"(12,)",,,
date_007_1959-02/rainfall,only_in_a,"(25,)",,,
date_007_1959-02/regional_patches,only_in_a,"(25, 3, 3)",,,
date_008_1959-03/climate_vars/air_2m,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/omega_500,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/shum_700,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/shum_925,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/slp,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_008_1959-03/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_008_1959-03/grid_points,only_in_a,"(25, 2)",,,
date_008_1959-03/local_patches,only_in_a,"(25, 3, 3)",,,
date_008_1959-03/month_one_hot,only_in_a,"(12,)",,,
date_008_1959-03/rainfall,only_in_a,"(25,)",,,
date_008_1959-03/regional_patches,only_in_a,"(25, 3, 3)",,,
date_009_1959-04/climate_vars/air_2m,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/omega_500,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/shum_700,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/shum_925,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/slp,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_009_1959-04/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_009_1959-04/grid_points,only_in_a,"(25, 2)",,,
date_009_1959-04/local_patches,only_in_a,"(25, 3, 3)",,,
date_009_1959-04/month_one_hot,only_in_a,"(12,)",,,
date_009_1959-04/rainfall,only_in_a,"(25,)",,,
date_009_1959-04/regional_patches,only_in_a,"(25, 3, 3)",,,
date_010_1959-05/climate_vars/air_2m,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/omega_500,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/shum_700,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/shum_925,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/slp,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_010_1959-05/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_010_1959-05/grid_points,only_in_a,"(25, 2)",,,
date_010_1959-05/local_patches,only_in_a,"(25, 3, 3)",,,
date_010_1959-05/month_one_hot,only_in_a,"(12,)",,,
date_010_1959-05/rainfall,only_in_a,"(25,)",,,
date_010_1959-05/regional_patches,only_in_a,"(25, 3, 3)",,,
date_011_1959-06/climate_vars/air_2m,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
