,datetime,precip_in
393,7/28/1959,NA
394,7/29/1959,NA
395,7/30/1959,0.75
396,7/31/1959,2.65
397,8/1/1959,NA
398,8/2/1959,NA
399,8/3/1959,2.95
400,8/4/1959,NA
401,8/5/1959,NA
402,8/6/1959,NA
403,8/7/1959,NA
404,8/8/1959,NA
405,8/9/1959,NA
406,8/10/1959,NA
407,8/11/1959,NA
408,8/12/1959,NA
409,8/13/1959,NA
410,8/14/1959,NA
411,8/15/1959,1.3
412,8/16/1959,NA
413,8/17/1959,0.75
414,8/18/1959,NA
415,8/19/1959,NA
416,8/20/1959,NA
417,8/21/1959,NA
418,8/22/1959,NA
419,8/23/1959,NA
420,8/24/1959,NA
421,8/25/1959,NA
422,8/26/1959,3.4
423,8/27/1959,7.4
424,8/28/1959,0.7
425,8/29/1959,5.35
426,8/30/1959,NA
427,8/31/1959,1.35
428,9/1/1959,NA
429,9/2/1959,0.65
430,9/3/1959,1.95
431,9/4/1959,5.1
432,9/5/1959,1.65
433,9/6/1959,2.8
434,9/7/1959,0.65
435,9/8/1959,2.8
436,9/9/1959,0.25
437,9/10/1959,NA
438,9/11/1959,NA
439,9/12/1959,0.3
440,9/13/1959,0.25
441,9/14/1959,0.15
442,9/15/1959,NA
443,9/16/1959,NA
444,9/17/1959,1.35
445,9/18/1959,0.65
446,9/19/1959,0.55
447,9/20/1959,0.5
448,9/21/1959,NA
449,9/22/1959,NA
450,9/23/1959,NA
451,9/24/1959,NA
452,9/25/1959,NA
453,9/26/1959,NA
454,9/27/1959,NA
455,9/28/1959,NA
456,9/29/1959,NA
457,9/30/1959,1.15
458,10/1/1959,NA
459,10/2/1959,0.1
460,10/3/1959,0.1
461,10/4/1959,0.3
462,10/5/1959,0.15
463,10/6/1959,0.15
464,10/7/1959,0.1
465,10/8/1959,1
466,10/9/1959,0.85
467,10/10/1959,NA
468,10/11/1959,NA
469,10/12/1959,0.15
470,10/13/1959,NA
471,10/14/1959,NA
472,10/15/1959,0.4
473,10/16/1959,1.25
474,10/17/1959,1.7
475,10/18/1959,1.05
476,10/19/1959,0.9
477,10/20/1959,NA
478,10/21/1959,2.15
479,10/22/1959,NA
480,10/23/1959,0.6
481,10/24/1959,0.45
482,10/25/1959,NA
483,10/26/1959,1.7
484,10/27/1959,1.9
485,10/28/1959,0.1
486,10/29/1959,1.1
487,10/30/1959,0.95
488,10/31/1959,1.95
489,11/1/1959,0.9
490,11/2/1959,0.3
491,11/3/1959,0.9
492,11/4/1959,1.1
493,11/5/1959,1.3
494,11/6/1959,0.4
495,11/7/1959,1.1
496,11/8/1959,NA
497,11/9/1959,1.8
498,11/10/1959,NA
499,11/11/1959,NA
