trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
75,7.832599733297166,2,6,2976,256,11,40,448,32,0.15000000000000002,9.953880369675416e-06,1.7339240619539423e-07,512
76,7.868803025202105,2,5,3152,160,10,32,448,32,0.2,6.2249954536636825e-06,2.904737680631344e-07,512
77,7.891138278821366,2,5,3024,256,11,28,512,32,0.2,1.0908616119436285e-05,4.892679587680794e-07,1024
78,7.915296938997687,4,6,3296,224,12,24,384,48,0.15000000000000002,3.870841257610444e-05,2.2531181994644008e-07,512
79,8.022042898888225,3,5,2928,144,11,28,448,16,0.2,7.830826132574408e-06,4.5338465264449624e-07,256
80,7.967800033755111,2,4,2704,240,10,32,448,48,0.2,6.473628911578013e-05,1.0315592991381615e-06,512
81,7.848851427428575,2,5,3200,192,12,20,256,48,0.15000000000000002,3.0922923181315725e-06,1.0742409859389693e-07,512
82,7.966326485150591,2,4,3056,240,12,24,320,32,0.25,1.606362403531264e-05,7.049426349287769e-06,512
83,7.841397237195939,2,4,3248,256,12,36,384,64,0.2,2.9022252200456127e-05,6.718294831101387e-07,512
84,7.8770391974023,2,5,2784,240,11,28,256,32,0.2,9.261802186574393e-05,3.6821602083530325e-06,512
85,7.821717729093396,2,4,2880,256,12,20,384,32,0.25,2.0898444157655186e-05,1.3783285712867217e-06,512
86,7.935331373364846,1,4,3008,224,11,4,320,16,0.2,6.032879427847921e-06,9.762044645711379e-06,512
87,7.846968449289551,2,5,3344,240,10,8,448,48,0.25,1.305615070758837e-05,6.108082121176793e-06,1024
88,7.912713116991992,2,3,3120,208,12,36,256,64,0.1,3.90005720415288e-07,1.4984036956254577e-07,256
89,7.9680051433095995,2,4,2960,256,11,12,320,32,0.3,4.3165498962197586e-05,2.2311407413726784e-06,512
90,8.060775027210347,3,3,2848,160,12,24,384,48,0.2,2.54150750324962e-05,1.237026383193962e-05,512
91,8.067209573087169,1,6,3392,224,8,40,512,64,0.25,6.177962921732277e-05,5.439641319589371e-06,512
92,7.777079795608036,2,5,2880,256,11,28,448,32,0.15000000000000002,4.172666434788561e-05,1.876555573144954e-06,512
93,7.689572193489258,2,5,2656,256,11,28,448,32,0.15000000000000002,0.00014166431981713583,1.858074196704512e-06,512
94,7.83275624365439,2,5,2704,256,11,32,448,32,0.15000000000000002,0.0001339393319158653,1.3236334016393024e-06,512
95,7.794499269551729,2,5,2672,240,11,24,448,16,0.15000000000000002,9.56570076477768e-05,3.2971031859379655e-06,512
96,8.559769106792402,0,5,2640,240,10,24,448,16,0.15000000000000002,0.00013919399711125673,1.9218977683057955e-06,512
97,8.214348514773883,2,5,2576,240,11,32,512,16,0.1,0.00022927624316591415,3.3145279326387788e-06,1024
98,8.191676796842714,2,6,2800,256,9,28,448,16,0.15000000000000002,8.683327661217589e-05,2.3243320069396634e-06,512
99,7.970049898257798,4,5,2480,256,10,20,384,48,0.15000000000000002,5.601115096307606e-05,4.425691733074647e-06,256
100,7.8439292606558935,2,5,3184,240,11,24,448,32,0.2,9.829894268200614e-05,1.6960573648092094e-06,512
