trial,value,local_dem_cfg,regional_dem_cfg,lightweight,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
37,1275.484742892093,0,3,False,270,48,10,24,192,32,0.35,1.1107748224224417e-05,0.00013793085081391634,256
38,962.5827598764505,5,1,True,300,64,11,20,112,16,0.4,0.00031269692107676976,8.575461413737756e-05,1024
39,927.0978672383377,2,5,False,390,64,7,12,176,48,0.45,0.00017253008400429655,5.343912043037877e-05,128
40,1123.6751148956866,3,4,True,240,48,4,20,160,64,0.5,8.151156220958164e-05,1.242498809927154e-05,256
41,979.0143480205901,0,3,False,270,64,6,20,208,32,0.4,0.0006446777270893522,0.00013688769575663658,256
42,948.434893454166,0,3,False,270,64,6,24,240,32,0.4,0.0007731042615320357,0.0002812263423225047,256
43,1243.6358708741902,0,2,False,330,64,5,20,208,32,0.45,0.00048306736532196804,3.602611267346206e-05,256
44,1201.3647919844832,1,4,False,180,64,4,16,224,16,0.35,0.0003320816331541991,9.756890706114208e-05,1024
45,1127.9593672393164,0,0,False,240,32,7,20,112,48,0.45,0.0007032401949825652,0.00023104814986410992,256
46,907.9059738504542,1,3,True,300,64,8,24,144,32,0.3,0.0004196726043121388,1.0216092451648518e-05,512
47,1255.3457965918687,3,2,True,300,48,8,24,80,16,0.3,0.00010940086115057728,1.7928676504468216e-05,512
48,828.3485478301003,1,1,True,330,64,10,24,144,32,0.3,0.00048659468211089974,1.0647857937339107e-05,512
49,1082.6358336507358,1,6,True,360,16,10,24,144,48,0.3,0.00044689717251496133,1.071711831302911e-05,512
50,1128.648078826749,2,0,True,120,64,10,24,144,32,0.3,5.18749905548039e-05,1.613662327127648e-05,512
51,1168.3230601593007,1,1,True,330,64,9,24,128,32,0.3,0.0003573493744432577,2.3281065948740453e-05,512
52,1153.64871998174,0,1,True,300,64,8,24,160,32,0.3,0.0002516025456795881,1.4208042646641181e-05,512
53,984.5044310697325,1,2,True,330,64,9,24,176,32,0.35,0.0004952260691049204,2.258878569844089e-05,512
54,1329.9831847827984,0,0,True,300,64,10,20,128,32,0.3,0.00018031538326279778,1.2007314791005151e-05,512
55,950.2588570677963,1,2,True,420,64,8,4,144,32,0.35,0.0007883567992390488,1.4803882495125753e-05,512
56,1331.4261994569797,2,1,True,270,64,11,24,112,48,0.6,8.812576673964938e-05,1.0208268569832099e-05,1024
57,1073.6850312035397,0,3,True,330,48,9,16,160,32,0.35,0.000123847872843553,0.000378498472050656,512
58,968.4912317262797,0,1,True,390,64,7,12,96,16,0.3,0.00041169093302961774,3.2206736286341564e-05,128
59,1160.24474492078,4,2,True,210,64,10,20,128,32,0.35,0.000522656207197651,4.674158273237867e-05,256
60,1148.9888282118661,1,4,True,360,32,8,16,192,32,0.55,0.0002511749880053306,0.00016014368800526508,512
61,992.8367343050148,0,3,False,270,64,5,20,240,32,0.4,0.0006793102222210401,8.283508471065948e-05,256
62,1535.0524529199208,0,3,False,240,64,6,20,224,32,0.4,0.0006054177227962114,0.00012150760534598081,256
63,933.9667203047969,3,3,False,300,64,7,20,256,32,0.4,0.0004145918398420218,6.075382324965056e-05,256
64,1120.6787240108304,1,2,False,300,64,9,16,208,32,0.35,0.0008783155924380591,0.00010545367074515786,256
65,1068.444132154936,0,4,False,270,64,5,24,144,16,0.3,0.00036741578729313916,0.00015788763751705504,256
66,953.8084720782362,1,1,True,240,64,4,16,176,32,0.4,0.0005443310522659575,7.418671276027318e-05,256
67,1293.8942938618272,0,3,False,330,48,6,20,240,48,0.4,2.4608301670494885e-05,8.980575857275513e-05,256
68,1071.3350503873282,6,2,True,270,64,9,24,224,32,0.45,0.0007154851974035812,0.00011984831055684891,1024
69,1074.8571392608824,0,5,False,480,64,8,12,160,16,0.35,0.0009926280152949142,2.389262607348584e-05,128
70,990.0955284376877,1,0,False,300,16,10,20,128,32,0.3,0.0002924562311842901,5.415301923890253e-05,256
71,1025.7324007576449,2,6,False,420,64,7,12,176,48,0.45,0.00018839951117535444,5.143615522131343e-05,128
72,1100.874465543391,2,5,False,450,64,7,12,224,48,0.45,0.00012906954745968473,6.887394953873585e-05,128
73,1198.9976806931106,2,4,False,390,64,6,8,176,64,0.4,0.00016339751192733892,4.1678154396968e-05,128
74,869.4478109812893,1,7,False,360,64,7,16,192,48,0.5,0.00045193915220090075,8.462731089885096e-05,128
75,997.905778795811,1,6,False,330,64,8,16,256,48,0.55,0.00046544621073408014,9.466588586807757e-05,128
76,759.865352776199,5,7,False,360,64,6,16,208,32,0.5,0.000604160849497126,8.030673591430028e-05,256
77,1400.7673272576988,5,7,False,360,64,9,16,192,32,0.5,0.00034104663129601147,0.00021751828670205192,256
78,944.5067630001631,4,7,True,360,64,7,16,208,48,0.5,0.0005637289293198326,7.634596269723824e-05,512
79,1092.95191210936,5,7,False,390,64,8,16,240,32,0.55,0.0008544230071754745,3.1170631803622564e-05,256
80,1144.5202405996954,5,7,False,360,48,6,16,192,64,0.5,0.0004181594977448417,1.1594072857490035e-05,256
81,783.1165645264027,4,6,False,330,64,5,16,208,32,0.4,0.0006373059838997529,0.000112403869594895,256
82,1052.1117786531718,4,6,False,330,64,5,16,208,32,0.5,0.0006571634317493308,0.00011847707696703748,256
83,1178.03204633768,3,7,False,300,64,5,16,208,32,0.55,0.0005367004930378518,1.3789581594377655e-05,256
84,1145.6141997253992,6,7,False,330,64,4,16,144,32,0.45,0.0004629759812178724,8.266261958251114e-05,256
85,756.759665432175,4,6,False,360,64,6,16,144,32,0.5,0.0006108305215757077,0.00016194389090855142,256
86,817.2858139584226,4,6,False,360,64,6,16,144,32,0.5,0.0007561657641564438,6.314782318990834e-05,256
87,1150.2041479381398,4,6,False,360,64,6,16,112,32,0.5,0.0007746576005030897,0.00016346647858363227,256
88,1252.9762087724494,4,5,False,360,64,6,16,160,32,0.5,3.505640889735231e-05,6.413199145700696e-05,256
89,932.1804226597565,3,6,False,390,64,6,16,128,16,0.5,0.0008843274042810823,0.0001322729539848134,256
90,1065.488975191179,4,6,False,360,64,7,16,192,32,0.5,0.0007243611738576813,0.00018076428833278075,256
91,1026.972246186877,4,7,False,330,64,8,16,144,32,0.5,0.0006121994363329422,9.147853757707688e-05,512
92,816.698248472644,5,6,False,330,64,7,16,144,32,0.55,0.0004947560061210148,1.6710142964123573e-05,256
93,1149.7968471933307,5,6,False,330,64,7,16,160,32,0.6,0.0005077394187359427,1.9056651167315803e-05,256
94,1170.3873002299415,5,6,False,360,64,6,16,128,32,0.55,5.732172350179058e-05,0.00010038402134253597,256
95,1259.5956004368616,5,6,False,390,64,7,12,144,32,0.55,0.0006260001106576521,1.6006556036920526e-05,256
96,1018.6736983260904,4,5,False,330,64,5,16,144,48,0.5,0.000781009718623405,0.0006877676696878041,256
97,1176.6849272187167,5,7,False,360,64,6,16,112,32,0.55,1.9519107277998666e-05,6.848042642952207e-05,1024
98,1092.4773410931477,4,5,False,330,64,7,16,160,32,0.6,0.00037227688765579083,8.18881716966052e-05,256
99,1025.1606476492914,5,6,False,390,64,5,12,128,32,0.5,8.239877831756843e-05,4.889448883560327e-05,256
